AgentName,AcctType,Opened By,Branch,Customer,Month,Year,Amount
Abhishek Kumar,CD,New Accts,Central,New,Aug,2015,2000
Abhishek Kumar,Checking,Teller,North County,Existing,Aug,2015,9936
Abhishek Kumar,Checking,Teller,North County,Existing,Sep,2015,8545
Abhishek Kumar,Checking,New Accts,Central,Existing,Oct,2015,4635
Abhishek Kumar,Savings,New Accts,Central,Existing,Nov,2015,6000
Abhishek Kumar,Checking,Teller,North County,Existing,Nov,2015,4000
Abhishek Kumar,CD,New Accts,Central,Existing,Nov,2015,11541
Abhishek Kumar,Checking,New Accts,Central,Existing,Dec,2015,4000
Abhishek Kumar,Savings,Teller,North County,New,Dec,2015,6608
Abhishek Kumar,CD,Teller,Westside,New,Jan,2016,10431
Abhishek Kumar,CD,Teller,North County,New,Jan,2016,8801
Abhishek Kumar,Savings,New Accts,Central,New,Jan,2016,600
Abhishek Kumar,CD,Teller,North County,Existing,Jan,2016,10306
Abhishek Kumar,Checking,Teller,Westside,Existing,Apr,2016,200
Abhishek Kumar,Checking,New Accts,Central,Existing,May,2016,12958
Abhishek Kumar,Savings,New Accts,Central,Existing,May,2016,5245
Abhishek Kumar,CD,Teller,Westside,Existing,Sep,2016,15759
Abhishek Kumar,Checking,New Accts,Central,Existing,Sep,2016,7342
Abhishek Kumar,Checking,New Accts,Westside,Existing,Oct,2016,3171
Abhishek Kumar,Savings,New Accts,Westside,New,Nov,2016,12310
Abhishek Kumar,Savings,New Accts,Central,New,Nov,2016,8915
Abhishek Kumar,CD,Teller,Central,Existing,Dec,2016,12127
Abhishek Kumar,Savings,Teller,North County,New,Feb,2017,13128
Abhishek Kumar,Checking,New Accts,Central,New,Feb,2017,4000
Abhishek Kumar,Savings,New Accts,North County,Existing,Feb,2017,7013
Abhishek Kumar,CD,New Accts,Central,Existing,Mar,2017,8469
Abhishek Kumar,CD,New Accts,Central,Existing,Mar,2017,35000
Abhishek Kumar,Savings,New Accts,Central,New,Apr,2017,13574
Abhishek Kumar,CD,New Accts,Central,New,Apr,2017,8613
Abhishek Kumar,CD,New Accts,Central,Existing,Apr,2017,15208
Abhishek Kumar,Savings,Teller,Central,Existing,Jun,2017,4348
Abhishek Kumar,CD,Teller,Central,Existing,Jul,2017,17000
Abhishek Kumar,Checking,New Accts,Central,Existing,Jul,2017,12000
Abhishek Kumar,Savings,Teller,Central,Existing,Aug,2017,12932
Abhishek Kumar,Checking,New Accts,Westside,New,Sep,2017,12673
Abhishek Kumar,Savings,New Accts,Central,Existing,Nov,2017,50000
Abhishek Kumar,Checking,New Accts,Central,New,Nov,2017,2749
Abhishek Kumar,Checking,Teller,North County,Existing,Nov,2017,4000
Abhishek Kumar,Checking,Teller,Westside,New,Dec,2017,3900
Abhishek Kumar,CD,New Accts,Central,Existing,Dec,2017,13519
Abhishek Kumar,CD,Teller,Central,New,Dec,2017,14571
Abhishek Kumar,CD,Teller,Westside,New,Dec,2017,7668
Abhishek Kumar,Checking,Teller,North County,Existing,Dec,2017,6565
Abhishek Kumar,Checking,New Accts,North County,Existing,Feb,2018,4000
Abhishek Kumar,Savings,New Accts,North County,New,Mar,2018,7000
Abhishek Kumar,Checking,New Accts,Central,Existing,Apr,2018,3000
Abhishek Kumar,CD,New Accts,Westside,New,Apr,2018,12724
Abhishek Kumar,Savings,Teller,Central,Existing,Apr,2018,7970
Abhishek Kumar,Checking,New Accts,Central,Existing,Jun,2018,3000
Abhishek Kumar,Checking,New Accts,Central,Existing,Jun,2018,5879
Abhishek Kumar,Checking,Teller,Central,Existing,Jun,2018,9641
Abhishek Kumar,CD,New Accts,Central,New,Jul,2018,5097
Abhishek Kumar,Savings,Teller,North County,New,Jul,2018,9525
Abhishek Kumar,Checking,New Accts,Westside,New,Aug,2018,12673
Abhishek Kumar,CD,New Accts,Central,Existing,Aug,2018,15208
Abhishek Kumar,CD,Teller,Central,Existing,Aug,2018,10795
Abhishek Kumar,Checking,New Accts,Westside,Existing,Oct,2018,500
Abhishek Kumar,CD,New Accts,Central,New,Oct,2018,11000
Abhishek Kumar,Savings,Teller,Central,Existing,Oct,2018,5680
Abhishek Kumar,Checking,New Accts,Westside,Existing,Nov,2018,3075
Abhishek Kumar,Savings,New Accts,Westside,Existing,Nov,2018,5000
Abhishek Kumar,Checking,Teller,North County,Existing,Dec,2018,4000
Abhishek Kumar,Checking,Teller,Central,Existing,Dec,2018,400
Abhishek Kumar,CD,New Accts,Westside,New,Dec,2018,9974
Abhishek Kumar,Savings,New Accts,Central,Existing,Jan,2019,10141
Abhishek Kumar,Checking,New Accts,Westside,New,Jan,2019,12673
Abhishek Kumar,CD,New Accts,Central,Existing,Feb,2019,9154
Abhishek Kumar,Savings,Teller,Central,Existing,Mar,2019,11931
Abhishek Kumar,IRA,New Accts,North County,Existing,Mar,2019,7000
Abhishek Kumar,Checking,New Accts,Westside,Existing,Apr,2019,133
Abhishek Kumar,Checking,New Accts,Central,Existing,May,2019,7342
Abhishek Kumar,Checking,New Accts,Central,New,May,2019,13777
Abhishek Kumar,Savings,New Accts,Westside,Existing,Sep,2019,4257
Abhishek Kumar,CD,New Accts,Central,New,Oct,2019,11000
Abhishek Kumar,Checking,New Accts,Central,New,Oct,2019,5879
Abhishek Kumar,Checking,New Accts,Westside,Existing,Nov,2019,3171
Abhishek Kumar,Savings,New Accts,North County,Existing,Nov,2019,5445
Abhishek Kumar,Savings,New Accts,Central,Existing,Nov,2019,13900
Abhishek Kumar,Savings,New Accts,North County,Existing,Jan,2020,4000
Abhishek Kumar,Checking,New Accts,Central,New,Jan,2020,3951
Abhishek Kumar,Savings,New Accts,Central,Existing,Jan,2020,200
Abhishek Kumar,Checking,New Accts,Central,Existing,Mar,2020,100
Abhishek Kumar,CD,New Accts,Westside,Existing,Jun,2020,4323
Abhishek Kumar,CD,New Accts,Central,New,Jun,2020,4307
Abhishek Kumar,Checking,New Accts,Central,Existing,Jun,2020,2749
Abhishek Kumar,Checking,New Accts,Central,Existing,Jun,2020,5879
Abhishek Kumar,Checking,New Accts,Westside,New,Jul,2020,10976
Abhishek Kumar,Savings,Teller,Central,Existing,Jul,2020,14475
Abhishek Kumar,Checking,New Accts,North County,New,Aug,2020,1000
Abhishek Kumar,Savings,Teller,North County,Existing,Oct,2020,14587
Abhishek Kumar,Checking,Teller,Central,New,Nov,2020,4566
Abhishek Kumar,CD,New Accts,North County,Existing,Dec,2020,75000
